,Year of Release,Game Title,Game Price,Score,Votes,Genre
96,2013,The Inner World,14.99,7.73,1108,Adventure
97,2013,Oknytt,4.99,7.71,533,Singleplayer
98,2013,Nihilumbra,7.99,7.71,2840,Adventure
99,2013,Angry Video Game Nerd Adventures,4.99,7.7,3108,Platformer
100,2013,9 Clues: The Secret of Serpent Creek,9.99,7.7,1379,Hidden Object
101,2013,Intake,9.99,7.7,393,Action
102,2013,Sniper Elite: Nazi Zombie Army,14.99,7.7,4347,Zombies
103,2013,DuckTales: Remastered,3.74,7.69,6385,Platformer
104,2013,Nimble Quest,4.99,7.68,730,Casual
105,2013,Goodbye Deponia,19.99,7.68,2101,Adventure
106,2013,Ys I & II Chronicles+,4.49,7.68,2187,JRPG
107,2013,CastleStorm,9.99,7.67,1504,Funny
108,2013,Wargame: Airland Battle,19.99,7.67,4273,Strategy
109,2013,Organ Trail: Director's Cut,4.99,7.67,2898,Zombies
110,2013,Unholy Heights,3.99,7.66,1512,Immersive Sim
111,2013,The Bridge,9.99,7.66,4087,Puzzle Platformer
112,2013,Journey of a Roach,6.99,7.66,1767,Adventure
113,2013,Injustice: Gods Among Us Ultimate Edition,19.99,7.65,17956,Fighting
114,2013,Soundodger+,7.99,7.65,793,Casual
115,2013,Choice of the Deathless,4.99,7.64,320,Choose Your Own Adventure
116,2013,Skulls of the Shogun,9.99,7.64,726,Strategy
117,2013,Resident Evil Revelations,6.89,7.63,11562,Action
118,2013,Dota 2,0.0,7.62,1975632,MOBA
119,2013,Megabyte Punch,14.99,7.62,1081,Adventure
120,2013,MURI,4.99,7.62,472,Action
121,2013,SLAMMED!,6.99,7.61,108,RPG
122,2013,The Typing of The Dead: Overkill,19.99,7.61,3405,Typing
123,2013,Super Puzzle Platformer Deluxe,7.99,7.61,473,Action
124,2013,Eldritch,14.99,7.6,2101,Action Roguelike
125,2013,The Cave,4.49,7.59,2586,Adventure
126,2013,Nancy Drew®: Ghost of Thornton Hall,19.99,7.59,214,Adventure
127,2013,Sang-Froid - Tales of Werewolves,0.0,7.59,1880,Strategy
128,2013,Soul Gambler,2.99,7.58,2651,Visual Novel
129,2013,Sabres of Infinity,5.99,7.58,134,Adventure
130,2013,Super Sanctum TD,4.99,7.56,1510,Tower Defense
131,2013,Eryi's Action,4.99,7.56,1365,2D Platformer
132,2013,Crysis® 3,29.99,7.56,5169,Action
133,2013,Ultratron,12.99,7.56,658,Action
134,2013,PixelJunk™ Shooter,8.99,7.55,564,Action
135,2013,Knock-knock,9.99,7.54,1680,Horror
136,2013,ENSLAVED™: Odyssey to the West™ Premium Edition,19.99,7.54,6550,Adventure
137,2013,Gas Guzzlers Extreme,24.99,7.54,3628,Combat Racing
138,2013,Duck Life,3.99,7.54,153,Casual
139,2013,Artemis Spaceship Bridge Simulator,6.99,7.53,458,Simulation
140,2013,Train Simulator: Pacific Surfliner® LA - San Diego Route,19.99,7.53,33,Simulation
141,2013,The Apogee Throwback Pack,9.99,7.52,303,Action
142,2013,OMSI 2: Steam Edition,29.99,7.52,10107,Automobile Sim
143,2013,Vector,6.99,7.51,926,Parkour
